Geography,Category,Brand Name,Company Name (GBO),Data Type,Unit,2016,2017,2018,2019,2020,2021
Malaysia,Mobile Phones,Samsung (Samsung Corp),Samsung Corp,Retail Volume,000 units,"3,645.8","3,448.9","3,197.8","2,791.1","2,340.5","2,046.9"
USA,Mobile Phones,Samsung (Samsung Corp),Samsung Corp,Retail Volume,000 units,"41,224.3","39,618.4","38,118.6","37,053.6","34,233.4","34,112.9"
Indonesia,Mobile Phones,Samsung (Samsung Corp),Samsung Corp,Retail Volume,000 units,"10,418.2","9,774.5","9,955.9","9,287.4","6,305.6","5,602.8"
Thailand,Mobile Phones,Samsung (Samsung Corp),Samsung Corp,Retail Volume,000 units,"4,879.1","4,841.5","4,490.1","4,097.3","3,955.2","4,295.8"
India,Mobile Phones,Samsung (Samsung Corp),Samsung Corp,Retail Volume,000 units,"49,976.3","54,725.5","50,879.7","47,709.1","48,268.0","48,686.8"
China,Mobile Phones,Samsung (Samsung Corp),Samsung Corp,Retail Volume,000 units,"31,125.2","21,927.8","9,609.4","3,800.1","2,339.7","1,648.6"
India,Mobile Phones,Realme (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,-,-,-,"12,907.6","15,862.1","19,392.9"
China,Mobile Phones,Realme (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,-,-,-,-,"1,278.0","5,175.9"
Indonesia,Mobile Phones,Realme (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,-,-,-,"2,400.0","4,144.8","4,642.2"
Philippines,Mobile Phones,Realme (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,-,-,-,"1,722.7","1,747.7","1,921.8"
Vietnam,Mobile Phones,Realme (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,-,-,280.0,396.1,572.1,858.2
Singapore,Mobile Phones,Realme (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,-,-,-,24.5,75.0,110.5
Thailand,Mobile Phones,Realme (BBK Electronics Corp Ltd),BBK Electronics Corp Ltd,Retail Volume,000 units,-,-,-,690.2,"1,411.3","1,800.3"
